location_type,map_label,lat,lon,country,candidate_rank,opportunity_tier
Existing Greggs,Greggs,51.5137101,-0.3034953,England,,
Existing Greggs,Greggs,53.9924811,-1.104189,England,,
Existing Greggs,Greggs,54.9251375,-1.5748069,England,,
Existing Greggs,Greggs,51.5780478,0.0263824,England,,
Existing Greggs,Greggs,52.6042604,-1.9171636,England,,
Existing Greggs,Greggs,53.4007734,-2.9678154,England,,
Existing Greggs,Greggs,54.9767113,-1.4685072,England,,
Existing Greggs,Greggs,55.1274695,-1.5094148,England,,
Existing Greggs,Greggs,53.3421129,-1.350578,England,,
Existing Greggs,Greggs,55.1303025,-1.5415889,England,,
Existing Greggs,Greggs,51.492315,-0.1929818,England,,
Existing Greggs,Greggs,53.2589878,-1.9120063,England,,
Existing Greggs,Greggs,53.1916277,-2.8883543,England,,
Existing Greggs,Greggs,53.4037567,-2.9794329,England,,
Existing Greggs,Greggs Outlet,54.9893451,-1.4374931,England,,
Existing Greggs,Greggs,51.6417668,-2.6749624,Wales,,
Existing Greggs,Greggs,51.4706983,-0.1246928,England,,
Existing Greggs,Greggs,51.0630532,-0.3316147,England,,
Existing Greggs,Greggs,52.2904184,-0.597688,England,,
Existing Greggs,Greggs,54.973157,-1.5188194,England,,
Existing Greggs,Greggs,50.7953069,-1.0943163,England,,
Existing Greggs,Greggs,51.0879989,-0.732469,England,,
Existing Greggs,Greggs,54.9408767,-1.5446585,England,,
Existing Greggs,Greggs,51.553645,-0.0984887,England,,
Existing Greggs,Greggs,54.9497025,-1.5693345,England,,
Existing Greggs,Greggs,54.9537773,-1.5443723,England,,
Existing Greggs,Greggs,54.3279024,-2.7475769,England,,
Existing Greggs,Greggs,54.9360727,-1.5993843,England,,
Existing Greggs,Greggs,54.967359,-1.588848,England,,
Existing Greggs,Greggs,54.9431964,-1.6243753,England,,
Existing Greggs,Greggs,54.7149806,-1.7464062,England,,
Existing Greggs,Greggs,51.8196014,-0.8089008,England,,
Existing Greggs,Greggs,53.4107808,-2.9645623,England,,
Existing Greggs,Greggs,54.9618062,-1.6780847,England,,
Existing Greggs,Greggs,55.864925,-4.2602928,Scotland,,
Existing Greggs,Greggs,55.7337647,-3.8371534,Scotland,,
Existing Greggs,Greggs,54.9461467,-1.6784495,England,,
